x,t,u
0,0,-0
0.01,0,3.33333e-05
0.02,0,0.000133333
0.03,0,0.0003
0.04,0,0.000533333
0.05,0,0.000833333
0.06,0,0.0012
0.07,0,0.00163333
0.08,0,0.00213333
0.09,0,0.0027
0.1,0,0.00333333
0.11,0,0.00403333
0.12,0,0.0048
0.13,0,0.00563333
0.14,0,0.00653333
0.15,0,0.0075
0.16,0,0.00853333
0.17,0,0.00963333
0.18,0,0.0108
0.19,0,0.0120333
0.2,0,0.0133333
0.21,0,0.0147
0.22,0,0.0161333
0.23,0,0.0176333
0.24,0,0.0192
0.25,0,0.0208333
0.26,0,0.0225333
0.27,0,0.0243
0.28,0,0.0261333
0.29,0,0.0280333
0.3,0,0.03
0.31,0,0.0320333
0.32,0,0.0341333
0.33,0,0.0363
0.34,0,0.0385333
0.35,0,0.0408333
0.36,0,0.0432
0.37,0,0.0456333
0.38,0,0.0481333
0.39,0,0.0507
0.4,0,0.0533333
0.41,0,0.0560333
0.42,0,0.0588
0.43,0,0.0616333
0.44,0,0.0645333
0.45,0,0.0675
0.46,0,0.0705333
0.47,0,0.0736333
0.48,0,0.0768
0.49,0,0.0800333
0.5,0,0.0833333
0.51,0,0.0867
0.52,0,0.0901333
0.53,0,0.0936333
0.54,0,0.0972
0.55,0,0.100833
0.56,0,0.104533
0.57,0,0.1083
0.58,0,0.112133
0.59,0,0.116033
0.6,0,0.12
0.61,0,0.124033
0.62,0,0.128133
0.63,0,0.1323
0.64,0,0.136533
0.65,0,0.140833
0.66,0,0.1452
0.67,0,0.149633
0.68,0,0.154133
0.69,0,0.1587
0.7,0,0.163333
0.71,0,0.168033
0.72,0,0.1728
0.73,0,0.177633
0.74,0,0.182533
0.75,0,0.1875
0.76,0,0.192533
0.77,0,0.197633
0.78,0,0.2028
0.79,0,0.208033
0.8,0,0.213333
0.81,0,0.2187
0.82,0,0.224133
0.83,0,0.229633
0.84,0,0.2352
0.85,0,0.240833
0.86,0,0.246533
0.87,0,0.2523
0.88,0,0.258133
0.89,0,0.264033
0.9,0,0.27
0.91,0,0.276033
0.92,0,0.282133
0.93,0,0.2883
0.94,0,0.294533
0.95,0,0.300833
0.96,0,0.3072
0.97,0,0.313633
0.98,0,0.320133
0.99,0,0.3267
1,0,0.333333
1.01,0,0.340033
1.02,0,0.3468
1.03,0,0.353633
1.04,0,0.360533
1.05,0,0.3675
1.06,0,0.374533
1.07,0,0.381633
1.08,0,0.3888
1.09,0,0.396033
1.1,0,0.403333
1.11,0,0.4107
1.12,0,0.418133
1.13,0,0.425633
1.14,0,0.4332
1.15,0,0.440833
1.16,0,0.448533
1.17,0,0.4563
1.18,0,0.464133
1.19,0,0.472033
1.2,0,0.48
1.21,0,0.488033
1.22,0,0.496133
1.23,0,0.5043
1.24,0,0.512533
1.25,0,0.520833
1.26,0,0.5292
1.27,0,0.537633
1.28,0,0.546133
1.29,0,0.5547
1.3,0,0.563333
1.31,0,0.572033
1.32,0,0.5808
1.33,0,0.589633
1.34,0,0.598533
1.35,0,0.6075
1.36,0,0.616533
1.37,0,0.625633
1.38,0,0.6348
1.39,0,0.644033
1.4,0,0.653333
1.41,0,0.6627
1.42,0,0.672133
1.43,0,0.681633
1.44,0,0.6912
1.45,0,0.700833
1.46,0,0.710533
1.47,0,0.7203
1.48,0,0.730133
1.49,0,0.740033
1.5,0,0.75
1.51,0,0.760033
1.52,0,0.770133
1.53,0,0.7803
1.54,0,0.790533
1.55,0,0.800833
1.56,0,0.8112
1.57,0,0.821633
1.58,0,0.832133
1.59,0,0.8427
1.6,0,0.853333
1.61,0,0.864033
1.62,0,0.8748
1.63,0,0.885633
1.64,0,0.896533
1.65,0,0.9075
1.66,0,0.918533
1.67,0,0.929633
1.68,0,0.9408
1.69,0,0.952033
1.7,0,0.963333
1.71,0,0.9747
1.72,0,0.986133
1.73,0,0.997633
1.74,0,1.0092
1.75,0,1.02083
1.76,0,1.03253
1.77,0,1.0443
1.78,0,1.05613
1.79,0,1.06803
1.8,0,1.08
1.81,0,1.09203
1.82,0,1.10413
1.83,0,1.1163
1.84,0,1.12853
1.85,0,1.14083
1.86,0,1.1532
1.87,0,1.16563
1.88,0,1.17813
1.89,0,1.1907
1.9,0,1.20333
1.91,0,1.21603
1.92,0,1.2288
1.93,0,1.24163
1.94,0,1.25453
1.95,0,1.2675
1.96,0,1.28053
1.97,0,1.29363
1.98,0,1.3068
1.99,0,1.32003
0,0.01,0
0.01,0.01,0
0.02,0.01,3.33333e-05
0.03,0.01,0.000133333
0.04,0.01,0.0003
0.05,0.01,0.000533333
0.06,0.01,0.000833333
0.07,0.01,0.0012
0.08,0.01,0.00163333
0.09,0.01,0.00213333
0.1,0.01,0.0027
0.11,0.01,0.00333333
0.12,0.01,0.00403333
0.13,0.01,0.0048
0.14,0.01,0.00563333
0.15,0.01,0.00653333
0.16,0.01,0.0075
0.17,0.01,0.00853333
0.18,0.01,0.00963333
0.19,0.01,0.0108
0.2,0.01,0.0120333
0.21,0.01,0.0133333
0.22,0.01,0.0147
0.23,0.01,0.0161333
0.24,0.01,0.0176333
0.25,0.01,0.0192
0.26,0.01,0.0208333
0.27,0.01,0.0225333
0.28,0.01,0.0243
0.29,0.01,0.0261333
0.3,0.01,0.0280333
0.31,0.01,0.03
0.32,0.01,0.0320333
0.33,0.01,0.0341333
0.34,0.01,0.0363
0.35,0.01,0.0385333
0.36,0.01,0.0408333
0.37,0.01,0.0432
0.38,0.01,0.0456333
0.39,0.01,0.0481333
0.4,0.01,0.0507
0.41,0.01,0.0533333
0.42,0.01,0.0560333
0.43,0.01,0.0588
0.44,0.01,0.0616333
0.45,0.01,0.0645333
0.46,0.01,0.0675
0.47,0.01,0.0705333
0.48,0.01,0.0736333
0.49,0.01,0.0768
0.5,0.01,0.0800333
0.51,0.01,0.0833333
0.52,0.01,0.0867
0.53,0.01,0.0901333
0.54,0.01,0.0936333
0.55,0.01,0.0972
0.56,0.01,0.100833
0.57,0.01,0.104533
0.58,0.01,0.1083
0.59,0.01,0.112133
0.6,0.01,0.116033
0.61,0.01,0.12
0.62,0.01,0.124033
0.63,0.01,0.128133
0.64,0.01,0.1323
0.65,0.01,0.136533
0.66,0.01,0.140833
0.67,0.01,0.1452
0.68,0.01,0.149633
0.69,0.01,0.154133
0.7,0.01,0.1587
0.71,0.01,0.163333
0.72,0.01,0.168033
0.73,0.01,0.1728
0.74,0.01,0.177633
0.75,0.01,0.182533
0.76,0.01,0.1875
0.77,0.01,0.192533
0.78,0.01,0.197633
0.79,0.01,0.2028
0.8,0.01,0.208033
0.81,0.01,0.213333
0.82,0.01,0.2187
0.83,0.01,0.224133
0.84,0.01,0.229633
0.85,0.01,0.2352
0.86,0.01,0.240833
0.87,0.01,0.246533
0.88,0.01,0.2523
0.89,0.01,0.258133
0.9,0.01,0.264033
0.91,0.01,0.27
0.92,0.01,0.276033
0.93,0.01,0.282133
0.94,0.01,0.2883
0.95,0.01,0.294533
0.96,0.01,0.300833
0.97,0.01,0.3072
0.98,0.01,0.313633
0.99,0.01,0.320133
1,0.01,0.3267
1.01,0.01,0.333333
1.02,0.01,0.340033
1.03,0.01,0.3468
1.04,0.01,0.353633
1.05,0.01,0.360533
1.06,0.01,0.3675
1.07,0.01,0.374533
1.08,0.01,0.381633
1.09,0.01,0.3888
1.1,0.01,0.396033
1.11,0.01,0.403333
1.12,0.01,0.4107
1.13,0.01,0.418133
1.14,0.01,0.425633
1.15,0.01,0.4332
1.16,0.01,0.440833
1.17,0.01,0.448533
1.18,0.01,0.4563
1.19,0.01,0.464133
1.2,0.01,0.472033
1.21,0.01,0.48
1.22,0.01,0.488033
1.23,0.01,0.496133
1.24,0.01,0.5043
1.25,0.01,0.512533
1.26,0.01,0.520833
1.27,0.01,0.5292
1.28,0.01,0.537633
1.29,0.01,0.546133
1.3,0.01,0.5547
1.31,0.01,0.563333
1.32,0.01,0.572033
1.33,0.01,0.5808
1.34,0.01,0.589633
1.35,0.01,0.598533
1.36,0.01,0.6075
1.37,0.01,0.616533
1.38,0.01,0.625633
1.39,0.01,0.6348
1.4,0.01,0.644033
1.41,0.01,0.653333
1.42,0.01,0.6627
1.43,0.01,0.672133
1.44,0.01,0.681633
1.45,0.01,0.6912
1.46,0.01,0.700833
1.47,0.01,0.710533
1.48,0.01,0.7203
1.49,0.01,0.730133
1.5,0.01,0.740033
1.51,0.01,0.75
1.52,0.01,0.760033
1.53,0.01,0.770133
1.54,0.01,0.7803
1.55,0.01,0.790533
1.56,0.01,0.800833
1.57,0.01,0.8112
1.58,0.01,0.821633
1.59,0.01,0.832133
1.6,0.01,0.8427
1.61,0.01,0.853333
1.62,0.01,0.864033
1.63,0.01,0.8748
1.64,0.01,0.885633
1.65,0.01,0.896533
1.66,0.01,0.9075
1.67,0.01,0.918533
1.68,0.01,0.929633
1.69,0.01,0.9408
1.7,0.01,0.952033
1.71,0.01,0.963333
1.72,0.01,0.9747
1.73,0.01,0.986133
1.74,0.01,0.997633
1.75,0.01,1.0092
1.76,0.01,1.02083
1.77,0.01,1.03253
1.78,0.01,1.0443
1.79,0.01,1.05613
1.8,0.01,1.06803
1.81,0.01,1.08
1.82,0.01,1.09203
1.83,0.01,1.10413
1.84,0.01,1.1163
1.85,0.01,1.12853
1.86,0.01,1.14083
1.87,0.01,1.1532
1.88,0.01,1.16563
1.89,0.01,1.17813
1.9,0.01,1.1907
1.91,0.01,1.20333
1.92,0.01,1.21603
1.93,0.01,1.2288
1.94,0.01,1.24163
1.95,0.01,1.25453
1.96,0.01,1.2675
1.97,0.01,1.28053
1.98,0.01,1.29363
1.99,0.01,1.3068
0,0.02,0
0.01,0.02,1e-06
0.02,0.02,2e-06
0.03,0.02,3.63333e-05
0.04,0.02,0.000137333
0.05,0.02,0.000305
0.06,0.02,0.000539333
0.07,0.02,0.000840333
0.08,0.02,0.001208
0.09,0.02,0.00164233
0.1,0.02,0.00214333
0.11,0.02,0.002711
0.12,0.02,0.00334533
0.13,0.02,0.00404633
0.14,0.02,0.004814
0.15,0.02,0.00564833
0.16,0.02,0.00654933
0.17,0.02,0.007517
0.18,0.02,0.00855133
0.19,0.02,0.00965233
0.2,0.02,0.01082
0.21,0.02,0.0120543
0.22,0.02,0.0133553
0.23,0.02,0.014723
0.24,0.02,0.0161573
0.25,0.02,0.0176583
0.26,0.02,0.019226
0.27,0.02,0.0208603
0.28,0.02,0.0225613
0.29,0.02,0.024329
0.3,0.02,0.0261633
0.31,0.02,0.0280643
0.32,0.02,0.030032
0.33,0.02,0.0320663
0.34,0.02,0.0341673
0.35,0.02,0.036335
0.36,0.02,0.0385693
0.37,0.02,0.0408703
0.38,0.02,0.043238
0.39,0.02,0.0456723
0.4,0.02,0.0481733
0.41,0.02,0.050741
0.42,0.02,0.0533753
0.43,0.02,0.0560763
0.44,0.02,0.058844
0.45,0.02,0.0616783
0.46,0.02,0.0645793
0.47,0.02,0.067547
0.48,0.02,0.0705813
0.49,0.02,0.0736823
0.5,0.02,0.07685
0.51,0.02,0.0800843
0.52,0.02,0.0833853
0.53,0.02,0.086753
0.54,0.02,0.0901873
0.55,0.02,0.0936883
0.56,0.02,0.097256
0.57,0.02,0.10089
0.58,0.02,0.104591
0.59,0.02,0.108359
0.6,0.02,0.112193
0.61,0.02,0.116094
0.62,0.02,0.120062
0.63,0.02,0.124096
0.64,0.02,0.128197
0.65,0.02,0.132365
0.66,0.02,0.136599
0.67,0.02,0.1409
0.68,0.02,0.145268
0.69,0.02,0.149702
0.7,0.02,0.154203
0.71,0.02,0.158771
0.72,0.02,0.163405
0.73,0.02,0.168106
0.74,0.02,0.172874
0.75,0.02,0.177708
0.76,0.02,0.182609
0.77,0.02,0.187577
0.78,0.02,0.192611
0.79,0.02,0.197712
0.8,0.02,0.20288
0.81,0.02,0.208114
0.82,0.02,0.213415
0.83,0.02,0.218783
0.84,0.02,0.224217
0.85,0.02,0.229718
0.86,0.02,0.235286
0.87,0.02,0.24092
0.88,0.02,0.246621
0.89,0.02,0.252389
0.9,0.02,0.258223
0.91,0.02,0.264124
0.92,0.02,0.270092
0.93,0.02,0.276126
0.94,0.02,0.282227
0.95,0.02,0.288395
0.96,0.02,0.294629
0.97,0.02,0.30093
0.98,0.02,0.307298
0.99,0.02,0.313732
1,0.02,0.320233
1.01,0.02,0.326801
1.02,0.02,0.333435
1.03,0.02,0.340136
1.04,0.02,0.346904
1.05,0.02,0.353738
1.06,0.02,0.360639
1.07,0.02,0.367607
1.08,0.02,0.374641
1.09,0.02,0.381742
1.1,0.02,0.38891
1.11,0.02,0.396144
1.12,0.02,0.403445
1.13,0.02,0.410813
1.14,0.02,0.418247
1.15,0.02,0.425748
1.16,0.02,0.433316
1.17,0.02,0.44095
1.18,0.02,0.448651
1.19,0.02,0.456419
1.2,0.02,0.464253
1.21,0.02,0.472154
1.22,0.02,0.480122
1.23,0.02,0.488156
1.24,0.02,0.496257
1.25,0.02,0.504425
1.26,0.02,0.512659
1.27,0.02,0.52096
1.28,0.02,0.529328
1.29,0.02,0.537762
1.3,0.02,0.546263
1.31,0.02,0.554831
1.32,0.02,0.563465
1.33,0.02,0.572166
